attraction_id,attraction_key,attraction_name,attraction_type,attraction_url,attraction_image_url,spotify_url,instagram_url,youtube_url,facebook_url,homepage_url,twitter_url,itunes_url,wiki_url,lastfm_url,musicbrainz_url,segment,genre,subgenre,attraction_upcoming_events
K8vZ9172rTf,K8vZ9172rTf|https://www.ticketmaster.com/rock-in-rio-tickets/artist/1697886,Rock In Rio,attraction,https://www.ticketmaster.com/rock-in-rio-tickets/artist/1697886,https://s1.ticketm.net/dam/a/ec1/ddf22328-fb7a-4bb6-8782-09704eeabec1_SOURCE,,https://www.instagram.com/rockinrio/,,https://www.facebook.com/RockInRio,,https://mobile.twitter.com/rockinrio,,,,,Music,Undefined,Undefined,6
K8vZ9171G-7,K8vZ9171G-7|https://www.ticketmaster.com/elton-john-tickets/artist/735394,Elton John,attraction,https://www.ticketmaster.com/elton-john-tickets/artist/735394,https://s1.ticketm.net/dam/a/091/79aece6d-f029-4c50-ac8b-eae50eca6091_SOURCE,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,https://instagram.com/eltonjohn,https://www.youtube.com/user/EltonJohn,https://www.facebook.com/EltonJohn,http://www.eltonjohn.com/,https://twitter.com/eltonofficial,https://itunes.apple.com/us/artist/id54657,https://en.wikipedia.org/wiki/Elton_John,http://www.last.fm/music/Elton+John,https://musicbrainz.org/artist/b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Music,Rock,Pop,1
K8vZ917Gps7,K8vZ917Gps7|https://www.ticketmaster.com/gilberto-gil-tickets/artist/1372284,Gilberto Gil,attraction,https://www.ticketmaster.com/gilberto-gil-tickets/artist/1372284,https://s1.ticketm.net/dam/c/ab4/6367448e-7474-4650-bd2d-02a8f7166ab4_106161_TABLET_LANDSCAPE_LARGE_16_9.jpg,,,,,,,,,,,Music,Undefined,Undefined,1
K8vZ917_Qv0,K8vZ917_Qv0|https://www.ticketmaster.com/laufey-tickets/artist/2790801,Laufey,attraction,https://www.ticketmaster.com/laufey-tickets/artist/2790801,https://s1.ticketm.net/dam/a/5de/dcb5ffb5-d421-4b2a-8c62-f98af27a55de_SOURCE,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO?si=FDVwUD1sTEKwIZic2Kfc2w&nd=1,https://www.instagram.com/laufey/,https://www.youtube.com/channel/UChpKl3waLmccNeYH9LGYjUQ,https://www.facebook.com/laufeymusic,https://www.laufeymusic.com,https://twitter.com/laufey,https://music.apple.com/ca/artist/laufey/1504424880,,,https://musicbrainz.org/artist/21a89505-10a9-4ac0-8388-833bc07b9f86,Music,Jazz,Jazz,4
K8vZ917ukw7,K8vZ917ukw7|https://www.ticketmaster.com/twenty-one-pilots-tickets/artist/1495843,Twenty One Pilots,attraction,https://www.ticketmaster.com/twenty-one-pilots-tickets/artist/1495843,https://s1.ticketm.net/dam/a/e39/3deccc98-ee00-44e0-8036-9d447ea28e39_SOURCE,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx?autoplay=true,https://www.instagram.com/twentyonepilots/,https://www.youtube.com/channel/UCBQZwaNPFfJ1gZ1fLZpAEGw?sub_confirmation=1,https://www.facebook.com/twentyonepilots,http://www.twentyonepilots.com/,https://x.com/twentyonepilots,https://music.apple.com/ca/artist/twenty-one-pilots/349736311,https://en.wikipedia.org/wiki/Twenty_One_Pilots,http://www.last.fm/music/Twenty+One+Pilots,https://musicbrainz.org/artist/a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,Music,Rock,Pop,14
K8vZ917otRV,K8vZ917otRV|https://www.ticketmaster.com/zara-larsson-tickets/artist/1908582,Zara Larsson,attraction,https://www.ticketmaster.com/zara-larsson-tickets/artist/1908582,https://s1.ticketm.net/dam/a/856/8301864e-d867-4f6f-adec-31a76a460856_SOURCE,https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg,https://instagram.com/zaralarsson/,https://www.youtube.com/user/ZaraLarssonOfficial,https://www.facebook.com/ZaraLarssonOfficial,https://www.zaralarssonofficial.com/,https://twitter.com/zaralarsson,https://music.apple.com/us/artist/zara-larsson/570372593,https://en.wikipedia.org/wiki/Zara_Larsson,http://www.last.fm/music/Zara%20Larsson,https://musicbrainz.org/artist/134e6410-6954-45d1-bd4a-0f2d2ad5471d,Music,Pop,Pop,19
K8vZ9173YE7,K8vZ9173YE7|https://www.ticketmaster.com/halsey-tickets/artist/2028626,Halsey,attraction,https://www.ticketmaster.com/halsey-tickets/artist/2028626,https://s1.ticketm.net/dam/a/36a/2a4ad78b-9c0b-472d-9999-fbfd949e136a_SOURCE,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2?autoplay=true,http://instagram.com/iamhalsey,https://www.youtube.com/channel/UCOCgB3xd-B-1qAm-hR9OLrA,https://www.facebook.com/HalseyMusic,http://iamhalsey.com/,http://www.x.com/halsey,https://itunes.apple.com/us/artist/id324916925,https://en.wikipedia.org/wiki/Halsey_(singer),http://www.last.fm/music/Halsey,https://musicbrainz.org/artist/3377f3bb-60fc-4403-aea9-7e800612e060,Music,Pop,Pop,2
K8vZ917_Njf,K8vZ917_Njf|https://www.ticketmaster.com/lola-young-tickets/artist/2813510,Lola Young,attraction,https://www.ticketmaster.com/lola-young-tickets/artist/2813510,https://s1.ticketm.net/dam/a/250/ce10df4c-355f-42f1-b839-4558986c0250_SOURCE,,,,,,,,,,https://musicbrainz.org/artist/43b896c5-5652-4b04-bde1-2e4224bc99b3,Music,R&B,R&B,12
K8vZ917544V,K8vZ917544V|https://www.ticketmaster.com/maroon-5-tickets/artist/824144,Maroon 5,attraction,https://www.ticketmaster.com/maroon-5-tickets/artist/824144,https://s1.ticketm.net/dam/a/2ab/f42abc1a-368b-4c68-91f3-fa853004e2ab_SOURCE,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP?autoplay=true,https://instagram.com/maroon5,https://www.youtube.com/user/Maroon5,https://www.facebook.com/maroon5,http://www.maroon5.com/,https://twitter.com/maroon5,https://music.apple.com/ca/artist/maroon-5/1798556,https://en.wikipedia.org/wiki/Maroon_5,http://www.last.fm/music/Maroon+5,https://musicbrainz.org/artist/0ab49580-c84f-44d4-875f-d83760ea2cfe,Music,Pop,Pop,10
K8vZ917G47f,K8vZ917G47f|https://www.ticketmaster.com/demi-lovato-tickets/artist/1224909,Demi Lovato,attraction,https://www.ticketmaster.com/demi-lovato-tickets/artist/1224909,https://s1.ticketm.net/dam/a/d32/6c88c721-0ec9-46a3-91bb-17fd58e17d32_SOURCE,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,https://www.instagram.com/ddlovato/,https://www.youtube.com/user/therealdemilovato,https://www.facebook.com/DemiLovato,http://demilovato.com/,https://x.com/ddlovato,https://music.apple.com/us/artist/demi-lovato/280215821,https://en.wikipedia.org/wiki/Demi_Lovato,http://www.last.fm/music/Demi+Lovato,https://musicbrainz.org/artist/faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,Music,Pop,Pop,6
