query_country_code,venue_id,venue_key,venue_name,venue_url,venue_image_url,postal_code,city,admin_area,admin_area_code,country,country_code,address_line_1,address_line_2,latitude,longitude,parking_detail,accessible_seating_detail,box_office_phone,box_office_hours,accepted_payment_detail,will_call_detail,general_rule,child_rule,venue_upcoming_events
BR,Z5IMVHtnMZ1Ad,BR|Z5IMVHtnMZ1Ad,Cidade do Rock,cidade-do-rock,,22780-160,,,RJ,,BR,,,-22.9758531,-43.4058787,,,,,,,,,13
BR,ZGIMVHtnMZdAv7,BR|ZGIMVHtnMZdAv7,Recinto de Exposições Alberto Bertelli Lucatto,recinto-de-exposicoes-alberto-bertelli-lucatto,,15035-540,,,SP,,BR,,,-20.8200617,-49.4219508,,,,,,,,,1
BR,Z5IMVHtnMZaae,BR|Z5IMVHtnMZaae,Allianz Parque,allianz-parque,,05001-200,,,SP,,BR,,,-23.5259385,-46.6789892,,,,,,,,,5
BR,ZGIMVHtnMZevFk,BR|ZGIMVHtnMZevFk,Casa de Apostas Arena Fonte Nova,casa-de-apostas-arena-fonte-nova,,40050-565,,,BA,,BR,,,-12.97723,-38.5039171,,,,,,,,,3
BR,ZGIMVHtnMZeede,BR|ZGIMVHtnMZeede,MorumBis,morumbis,,05653-070,,,SP,,BR,,,-23.6002654,-46.7210506,,,,,,,,,7
BR,ZGIMVHtnMZeFaa,BR|ZGIMVHtnMZeFaa,Suhai Music Hall,suhaimusichall,,04795-000,,,SP,,BR,,,-23.6761714,-46.6992381,,,,,,,,,7
BR,ZGIMVHtnMZea61,BR|ZGIMVHtnMZea61,BeFly Hall,befly-hall,,30330-000,,,MG,,BR,,,-19.9911873,-43.96019200000001,,,,,,,,,3
BR,ZGIMVHtnMZeaa1,BR|ZGIMVHtnMZeaa1,Mercado Livre Arena Pacaembu,mercadolivrearenapacaembu,,01234-010,,,SP,,BR,,,-23.5430813,-46.66506529999999,,,,,,,,,5
BR,Z5IMVHtnMZ61a,BR|Z5IMVHtnMZ61a,Espaço Unimed -  AVCB nº774465-Alvará de Funcionamento 2024/05734-00,espacounimed,,01156-000,,,SP,,BR,,,-23.5306956,-46.6638359,,,,,,,,,6
BR,Z5IMVHtnMZFd7,BR|Z5IMVHtnMZFd7,Audio,audio,,05001-100,,,SP,,BR,,,-23.5283715,-46.669667,,,,,,,,,2
BR,Z5IMVHtnMZ17k,BR|Z5IMVHtnMZ17k,Circo Voador,circo-voador,,20230-060,,,RJ,,BR,,,-22.9068467,-43.1728965,,,,,,,,,1
BR,Z5IMVHtnMZFev,BR|Z5IMVHtnMZFev,Cine Joia,cine-joia,,01501-040,,,SP,,BR,,,-23.5528711,-46.6360441,,,,,,,,,1
BR,ZGIMVHtnMZe1kd,BR|ZGIMVHtnMZe1kd,Mister Rock,mister-rock,,30380-080,,,MG,,BR,,,-19.9192835,-43.95950759999999,,,,,,,,,1
BR,ZGIMVHtnMZea1e,BR|ZGIMVHtnMZea1e,Tork n' Roll,torknroll,,80230-110,,,PR,,BR,,,-25.4444217,-49.2651438,,,,,,,,,1
BR,KovZ917ARjF,BR|KovZ917ARjF,Qualistage,http://www.ticketmaster.com.br/venue/385027,,22775-004,Rio de Janeiro,Rio de Janeiro,RJ,Brazil,BR,"Av. Ayrton Senna, 3000 - Barra da Tijuca, Rio de Janeiro",,-22.98135949,-43.36089723,,,,,,,,,15
BR,Z5IMVHtnMZ1FA,BR|Z5IMVHtnMZ1FA,Tokio Marine Hall,https://ticketmaster.com.br/venue/tokio-marine-hall,,04727-002,,,SP,,BR,,,-23.63847,-46.71997469999999,,,,,,,,,20
